nominee,nr_wins,nr_nominations,oscar_index
Tess Harper,0.0,1,1
Thelma Ritter,0.0,6,1
Theodore Bikel,0.0,1,1
Thomas Gomez,0.0,1,1
Thomas Haden Church,0.0,1,1
Thomas Mitchell,1.0,2,2
Tilda Swinton,1.0,1,2
Tim Robbins,1.0,1,2
Tim Roth,0.0,1,1
Timothy Hutton,1.0,1,2
Tom Berenger,0.0,1,1
Tom Conti,0.0,1,1
Tom Courtenay,0.0,2,1
Tom Cruise,0.0,3,1
Tom Hanks,2.0,5,3
Tom Hardy,0.0,1,1
Tom Hulce,0.0,1,1
Tom Tully,0.0,1,1
Tom Wilkinson,0.0,2,1
Tommy Lee Jones,1.0,4,2
Toni Collette,0.0,1,1
Tony Curtis,0.0,1,1
Topol,0.0,1,1
Trevor Howard,0.0,1,1
Tuesday Weld,0.0,1,1
Uma Thurman,0.0,1,1
Una Merkel,0.0,1,1
Valentina Cortese,0.0,1,1
Valerie Perrine,0.0,1,1
Van Heflin,1.0,1,2
Vanessa Redgrave,1.0,6,2
Vera Farmiga,0.0,1,1
Victor Buono,0.0,1,1
Victor McLaglen,1.0,2,2
Viggo Mortensen,0.0,1,1
Vincent Gardenia,0.0,2,1
Viola Davis,0.0,2,1
Virginia Madsen,0.0,1,1
Vittorio De Sica,0.0,1,1
Vivien Leigh,2.0,2,3
Vivien Merchant,0.0,1,1
Wallace Beery,1.0,2,2
Walter Brennan,3.0,4,3
Walter Huston,1.0,4,2
Walter Matthau,1.0,3,2
Walter Pidgeon,0.0,2,1
Warner Baxter,1.0,1,2
Warren Beatty,0.0,4,1
Wendy Hiller,1.0,3,2
Whoopi Goldberg,1.0,2,2
Will Smith,0.0,2,1
Willem Dafoe,0.0,2,1
William Bendix,0.0,1,1
William Demarest,0.0,1,1
William Gargan,0.0,1,1
William H. Macy,0.0,1,1
William Hickey,0.0,1,1
William Holden,1.0,3,2
William Hurt,1.0,4,2
William Powell,0.0,3,1
Winona Ryder,0.0,2,1
Woody Allen,0.0,1,1
Woody Harrelson,0.0,2,1
Yul Brynner,1.0,1,2
