year_film,year,ceremony,award,nominee,film,winner
1974,1975,32,New Star Of The Year - Actor,Steven Warner,"Little Prince, The",False
1974,1975,32,New Star Of The Year - Actor,Sam Waterston,"Great Gatsby, The",False
1974,1975,32,New Star Of The Year - Actor,Jim Hampton,The Longest Yard,False
1974,1975,32,New Star Of The Year - Actor,Lee Strasberg,"Godfather Part II, The",False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Drama,Louise Fletcher,One Flew Over The Cuckoo's Nest,True
1975,1976,33,Best Performance by an Actress in a Motion Picture - Drama,Glenda Jackson,Hedda,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Drama,Karen Black,"Day of the Locust, The",False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Three Days of the Condor,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Drama,Marilyn Hassett,"Other Side of the Mountain, The",False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,One Flew Over The Cuckoo's Nest,True
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman,French Connection II,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Dog Day Afternoon,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,Maximilian Schell,"Man in the Glass Booth, The",False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,James Whitmore,"Give 'Em Hell, Harry!",False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ann-Margret,Tommy,True
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie Christie,Shampoo,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Shampoo,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Liza Minnelli,Lucky Lady,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Barbra Streisand,Funny Lady,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walter Matthau,"Sunshine Boys, The",True
1975,1976,33,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Caan,Funny Lady,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter Sellers,"Return of the Pink Panther, The",False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Warren Beatty,Shampoo,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough,True
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ronee Blakley,Nashville,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Geraldine Chaplin,Nashville,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,Shampoo,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Barbara Harris,Nashville,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lily Tomlin,Nashville,False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,Richard Benjamin,"Sunshine Boys, The",True
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,Charles Durning,Dog Day Afternoon,False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,Henry Gibson,Nashville,False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,Burgess Meredith,"Day of the Locust, The",False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Cazale,Dog Day Afternoon,False
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Lee Remick,Jennie: Lady Randolph Churchill,True
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Angie Dickinson,Police Woman,False
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Rosemary Harris,Notorious Woman,False
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Michael Learned,"Waltons, The",False
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Lee Meriwether,Barnaby Jones,False
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Robert Blake,Baretta,True
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Telly Savalas,Kojak,True
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Peter Falk,Columbo,False
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Karl Malden,"Streets of San Francisco, The",False
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Barry Newman,Petrocelli,False
1975,1976,33,Best Performance by an Actress in a Television Series - Musical or Comedy,Cloris Leachman,Phyllis,True
1975,1976,33,Best Performance by an Actress in a Television Series - Musical or Comedy,Beatrice Arthur,Maude,False
1975,1976,33,Best Performance by an Actress in a Television Series - Musical or Comedy,Carol Burnett,"Carol Burnett Show, The",False
1975,1976,33,Best Performance by an Actress in a Television Series - Musical or Comedy,Valerie Harper,Rhoda,False
1975,1976,33,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary Tyler Moore,"Mary Tyler Moore Show, The",False
1975,1976,33,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Alda,M*A*S*H (TV Show),True
1975,1976,33,Best Performance by an Actor in a Television Series - Musical or Comedy,Redd Foxx,Sanford and Son,False
1975,1976,33,Best Performance by an Actor in a Television Series - Musical or Comedy,Hal Linden,Barney Miller,False
1975,1976,33,Best Performance by an Actor in a Television Series - Musical or Comedy,Bob Newhart,"Bob Newhart Show, The",False
1975,1976,33,Best Performance by an Actor in a Television Series - Musical or Comedy,Carroll O'Connor,All In The Family,False
1975,1976,33,Best Performance by an Actor in a Television Series - Musical or Comedy,Johnny Carson,"Tonight Show, The",False
1975,1976,33,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Hermione Baddeley,Maude,True
1975,1976,33,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Susan Howard,Petrocelli,False
1975,1976,33,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julie Kavner,Rhoda,False
1975,1976,33,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Nancy Walker,Rhoda,False
1975,1976,33,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Nancy Walker,McMillan and Wife,False
1975,1976,33,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ed Asner,"Mary Tyler Moore Show, The",True
1975,1976,33,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tim Conway,"Carol Burnett Show, The",True
1975,1976,33,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ted Knight,"Mary Tyler Moore Show, The",False
1975,1976,33,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rob Reiner,All In The Family,False
1975,1976,33,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jimmie Walker,Good Times,False
1975,1976,33,New Star Of The Year - Actress,Marilyn Hassett,"Other Side of the Mountain, The",True
1975,1976,33,New Star Of The Year - Actress,Ronee Blakley,Nashville,False
1975,1976,33,New Star Of The Year - Actress,Barbara Carrera,"Master Gunfighter, The",False
1975,1976,33,New Star Of The Year - Actress,Stockard Channing,"Fortune, The",False
1975,1976,33,New Star Of The Year - Actress,Jeannette Clift,"Hiding Place, The",False
1975,1976,33,New Star Of The Year - Actress,Lily Tomlin,Nashville,False
1975,1976,33,New Star Of The Year - Actor,Brad Dourif,One Flew Over The Cuckoo's Nest,True
1975,1976,33,New Star Of The Year - Actor,Chris Sarandon,Dog Day Afternoon,False
1975,1976,33,New Star Of The Year - Actor,Ben Vereen,Funny Lady,False
1975,1976,33,New Star Of The Year - Actor,Roger Daltrey,Tommy,False
1975,1976,33,New Star Of The Year - Actor,Jeffrey Lynas,Lies My Father Told Me,False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Network,True
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Glenda Jackson,"Incredible Sarah, The",False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Sarah Miles,"Sailor Who Fell From Grace With The Sea, The",False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Talia Shire,Rocky,False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Liv Ullmann,Face to Face,False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,Peter Finch,Network,True
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,David Carradine,Bound for Glory,False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,Taxi Driver,False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,Dustin Hoffman,Marathon Man,False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,Sylvester Stallone,Rocky,False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Barbra Streisand,"Star Is Born, A (1976)",True
1976,1977,34,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jodie Foster,Freaky Friday (1976),False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Barbara Harris,Family Plot,False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Barbara Harris,Freaky Friday (1976),False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,"Duchess and The Dirtwater Fox, The",False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rita Moreno,"Ritz, The",False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kris Kristofferson,"Star Is Born, A (1976)",True
1976,1977,34,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mel Brooks,Silent Movie,False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter Sellers,"Pink Panther Strikes Again, The",False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Weston,"Ritz, The",False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Wilder,Silver Streak,False
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katharine Ross,Voyage of the Damned,True
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,Voyage of the Damned,False
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marthe Keller,Marathon Man,False
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Piper Laurie,Carrie,False
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Bernadette Peters,Silent Movie,False
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shelley Winters,"Next Stop, Greenwich Village",False
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Laurence Olivier,Marathon Man,True
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Marty Feldman,Silent Movie,False
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ron Howard,"Shootist, The",False
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jason Robards Jr.,All The President's Men,False
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Oskar Werner,Voyage of the Damned,False
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Susan Blakely,"Rich Man, Poor Man",True
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Angie Dickinson,Police Woman,False
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Farrah Fawcett,Charlie's Angels,False
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Kate Jackson,Charlie's Angels,False
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Jean Marsh,Upstairs/Downstairs,False
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Sada Thompson,Family,False
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Lindsay Wagner,"Bionic Woman, The",False
1976,1977,34,Best Performance by an Actor In A Television Series - Drama,Richard Jordan,Captains and the Kings,True
1976,1977,34,Best Performance by an Actor In A Television Series - Drama,Lee Majors,"Six Million Dollar Man, The",False
1976,1977,34,Best Performance by an Actor In A Television Series - Drama,Nick Nolte,"Rich Man, Poor Man",False
1976,1977,34,Best Performance by an Actor In A Television Series - Drama,Telly Savalas,Kojak,False
1976,1977,34,Best Performance by an Actor In A Television Series - Drama,Peter Strauss,"Rich Man, Poor Man",False
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Carol Burnett,"Carol Burnett Show, The",True
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary Tyler Moore,"Mary Tyler Moore Show, The",False
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Bernadette Peters,All's Fair,False
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Isabel Sanford,"Jeffersons, The",False
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Dinah Shore,Dinah!,False
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Henry Winkler,Happy Days,True
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael Constantine,Sirota's Court,False
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Sammy Davis Jr.,Sammy & Company,False
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Hal Linden,Barney Miller,False
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Freddie Prinze,Chico and The Man,False
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Randall,"Tony Randall Show, The",False
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Alda,M*A*S*H (TV Show),False
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Josette Banzet,"Rich Man, Poor Man",True
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anne Meara,Rhoda,False
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sally Struthers,All In The Family,False
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Adrienne Barbeau,Maude,False
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Darleen Carr,Once an Eagle,False
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ellen Corby,"Waltons, The",False
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julie Kavner,Rhoda,False
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Vicki Lawrence,"Carol Burnett Show, The",False
1976,1977,34,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ed Asner,"Rich Man, Poor Man",True
1976,1977,34,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rob Reiner,All In The Family,False
1976,1977,34,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tim Conway,"Carol Burnett Show, The",False
1976,1977,34,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Charles Durning,Captains and the Kings,False
1976,1977,34,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gavin MacLeod,"Mary Tyler Moore Show, The",False
1976,1977,34,New Star Of The Year - Actress,Jessica Lange,,True
1976,1977,34,New Star Of The Year - Actress,Gladys Knight,Pipe Dreams,False
1976,1977,34,New Star Of The Year - Actress,Andrea Marcovicci,"Front, The",False
1976,1977,34,New Star Of The Year - Actress,Melinda Dillon,Bound for Glory,False
1976,1977,34,New Star Of The Year - Actress,Mariel Hemingway,Lipstick,False
1976,1977,34,New Star Of The Year - Actor,Arnold Schwarzenegger,Stay Hungry,True
1976,1977,34,New Star Of The Year - Actor,Lenny Baker,"Next Stop, Greenwich Village",False
1976,1977,34,New Star Of The Year - Actor,Truman Capote,Murder by Death,False
1976,1977,34,New Star Of The Year - Actor,Jonathan Kahn,"Sailor Who Fell From Grace With The Sea, The",False
1976,1977,34,New Star Of The Year - Actor,Harvey Stephens,"Omen, The",False
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Jane Fonda,Julia,True
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Anne Bancroft,"Turning Point, The",False
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Diane Keaton,Looking For Mr. Goodbar,False
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Kathleen Quinlan,I Never Promised You a Rose Garden,False
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Gena Rowlands,Opening Night,False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Richard Burton,Equus,True
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Henry Winkler,Heroes,False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Marcello Mastroianni,"Special Day, A",False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Bobby Deerfield,False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Gregory Peck,MacArthur,False
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Annie Hall,True
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marsha Mason,"Goodbye Girl, The",True
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sally Field,Smokey and The Bandit,False
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Liza Minnelli,"New York, New York",False
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lily Tomlin,"Late Show, The",False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Dreyfuss,"Goodbye Girl, The",True
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Saturday Night Fever,False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Woody Allen,Annie Hall,False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mel Brooks,High Anxiety,False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert De Niro,"New York, New York",False
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Vanessa Redgrave,Julia,True
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ann-Margret,Joseph Andrews,False
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joan Blondell,Opening Night,False
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Leslie Browne,"Turning Point, The",False
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Quinn Cummings,"Goodbye Girl, The",False
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lilia Skala,Roseland,False
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Firth,Equus,True
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Maximilian Schell,Julia,False
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mikhail Baryshnikov,"Turning Point, The",False
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Alec Guinness,Star Wars: Episode IV - A New Hope,False
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jason Robards Jr.,Julia,False
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Lesley Ann Warren,79 Park Avenue,True
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Angie Dickinson,Police Woman,False
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Kate Jackson,Charlie's Angels,False
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Leslie Uggams,Roots,False
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Lindsay Wagner,"Bionic Woman, The",False
1977,1978,35,Best Performance by an Actor In A Television Series - Drama,Ed Asner,Lou Grant,True
1977,1978,35,Best Performance by an Actor In A Television Series - Drama,Telly Savalas,Kojak,False
1977,1978,35,Best Performance by an Actor In A Television Series - Drama,Robert Conrad,Baa Baa Black Sheep,False
1977,1978,35,Best Performance by an Actor In A Television Series - Drama,Peter Falk,Columbo,False
1977,1978,35,Best Performance by an Actor In A Television Series - Drama,James Garner,"Rockford Files, The",False
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Carol Burnett,"Carol Burnett Show, The",True
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Beatrice Arthur,Maude,False
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Penny Marshall,Laverne & Shirley,False
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Isabel Sanford,"Jeffersons, The",False
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Jean Stapleton,All In The Family,False
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Cindy Williams,Laverne & Shirley,False
1977,1978,35,Best Performance by an Actor in a Television Series - Musical or Comedy,Ron Howard,Happy Days,True
1977,1978,35,Best Performance by an Actor in a Television Series - Musical or Comedy,Henry Winkler,Happy Days,True
1977,1978,35,Best Performance by an Actor in a Television Series - Musical or Comedy,Carroll O'Connor,All In The Family,False
1977,1978,35,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Alda,M*A*S*H (TV Show),False
1977,1978,35,Best Performance by an Actor in a Television Series - Musical or Comedy,Hal Linden,Barney Miller,False
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Jane Fonda,Coming Home,True
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Jill Clayburgh,"Unmarried Woman, An",False
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Glenda Jackson,Stevie,False
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Geraldine Page,Interiors,False
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,Autumn Sonata,False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Jon Voight,Coming Home,True
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Brad Davis,Midnight Express,False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,"Deer Hunter, The",False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Anthony Hopkins,Magic,False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Gregory Peck,"Boys From Brazil, The",False
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ellen Burstyn,"Same Time, Next Year",True
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maggie Smith,California Suite,True
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jacqueline Bisset,Who Is Killing The Great Chefs of Europe?,False
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Foul Play,False
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Olivia Newton-John,Grease,False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Warren Beatty,Heaven Can Wait,True
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Alan Alda,"Same Time, Next Year",False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gary Busey,"Buddy Holly Story, The",False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Chevy Chase,Foul Play,False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,George C. Scott,Movie Movie,False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Grease,False
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dyan Cannon,Heaven Can Wait,True
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mona Washbourne,Stevie,False
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Carol Burnett,"Wedding, A",False
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton,Interiors,False
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Meryl Streep,"Deer Hunter, The",False
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Hurt,Midnight Express,True
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bruce Dern,Coming Home,False
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,Dudley Moore,Foul Play,False
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Morley,Who Is Killing The Great Chefs of Europe?,False
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christopher Walken,"Deer Hunter, The",False
1978,1979,36,Best Performance by an Actress In A Television Series - Drama,Rosemary Harris,Holocaust,True
1978,1979,36,Best Performance by an Actress In A Television Series - Drama,Lee Remick,Wheels,False
1978,1979,36,Best Performance by an Actress In A Television Series - Drama,Sada Thompson,Family,False
1978,1979,36,Best Performance by an Actress In A Television Series - Drama,Kate Jackson,Charlie's Angels,False
1978,1979,36,Best Performance by an Actress In A Television Series - Drama,Kristy McNichol,Family,False
1978,1979,36,Best Performance by an Actor In A Television Series - Drama,Michael Moriarty,Holocaust,True
1978,1979,36,Best Performance by an Actor In A Television Series - Drama,Ed Asner,Lou Grant,False
1978,1979,36,Best Performance by an Actor In A Television Series - Drama,James Garner,"Rockford Files, The",False
1978,1979,36,Best Performance by an Actor In A Television Series - Drama,Richard Hatch,Battlestar Galactica,False
1978,1979,36,Best Performance by an Actor In A Television Series - Drama,John Houseman,"Paper Chase, The",False
1978,1979,36,Best Performance by an Actor In A Television Series - Drama,Michael Landon,Little House on the Prairie,False
1978,1979,36,Best Performance by an Actress in a Television Series - Musical or Comedy,Linda Lavin,Alice,True
1978,1979,36,Best Performance by an Actress in a Television Series - Musical or Comedy,Carol Burnett,"Carol Burnett Show, The",False
1978,1979,36,Best Performance by an Actress in a Television Series - Musical or Comedy,Penny Marshall,Laverne & Shirley,False
1978,1979,36,Best Performance by an Actress in a Television Series - Musical or Comedy,Suzanne Somers,Three's Company,False
1978,1979,36,Best Performance by an Actress in a Television Series - Musical or Comedy,Jean Stapleton,All In The Family,False
1978,1979,36,Best Performance by an Actor in a Television Series - Musical or Comedy,Robin Williams,Mork & Mindy,True
1978,1979,36,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Alda,M*A*S*H (TV Show),False
1978,1979,36,Best Performance by an Actor in a Television Series - Musical or Comedy,Judd Hirsch,Taxi,False
1978,1979,36,Best Performance by an Actor in a Television Series - Musical or Comedy,Gavin MacLeod,The Love Boat,False
1978,1979,36,Best Performance by an Actor in a Television Series - Musical or Comedy,John Ritter,Three's Company,False
1978,1979,36,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Polly Holliday,Alice,True
1978,1979,36,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Marilu Henner,Taxi,False
1978,1979,36,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julie Kavner,Rhoda,False
1978,1979,36,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Linda Kelsey,Lou Grant,False
1978,1979,36,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Audra Lindley,Three's Company,False
